sim#;thickness;TransportTimeAfterHeating;EnforcedTemperatureOfEntireSheet;QuenchingTimeInTool;QuenchingForce;spacing;DefaultToolTemperature;HARDNESS P1;HARDNESS P2;HARDNESS P3;THICKNESS P1;THICKNESS P2;THICKNESS P3;RUECKFEDERUNG P4;RUECKFEDERUNG P5;;;| AutoForm-SIGMA: Scatter Data Dump (MIME: text/csv)
100;1.485391349;16.54584643;916.0986387;3.978079384;623059.3937;1.442862276;144.661548;413.6666565;426.3333435;437;1.340494752;1.463216186;1.462890625;-0.22588524;-0.21857299;;;
101;1.529374013;13.83738141;943.5905495;5.510141266;1029509.959;0.973206817;225.8580895;473.6666565;467.3333435;479;1.368164063;1.496744752;1.504557252;-0.347269079;-0.305729883;;;
102;1.451303385;12.58968632;945.7422253;3.607437164;1676485.783;0.17217422;200.3969009;482.6666565;479;484;1.307291627;1.419921875;1.429036498;-0.377286174;-0.357242069;;;
103;1.470972625;14.64115879;931.9494538;8.85384762;1583146.543;1.980947773;165.5938917;458;463.3333435;468;1.326497436;1.444986939;1.44921875;-0.160863098;-0.118889905;;;
104;1.471097325;11.77869617;905.6535026;6.077768634;1655033.705;0.506190268;98.65718619;458;458.3333435;463;1.321289063;1.439778686;1.44921875;-0.060754257;-0.052136717;;;
105;1.495809495;10.66134809;906.7293501;6.062935727;1156142.077;1.595409686;297.3548702;430;414.3333435;435.3333435;1.339192748;1.46484375;1.47265625;-0.4252213;-0.327091255;;;
106;1.490017359;16.98113713;943.4309901;6.893164865;1793439.846;1.124812626;265.8915393;439.6666565;452.3333435;459;1.33984375;1.462239623;1.468098998;-0.383783517;-0.350233538;;;
107;1.507325285;21.09870926;944.9490581;4.012573768;681297.2981;0.367791523;118.9951026;421.6666565;430.6666565;438;1.357421875;1.481445313;1.484375;-0.022241776;-0.044861055;;;
108;1.545006993;16.62820611;902.7612142;9.741432526;988973.9968;0.500665969;112.7205404;420.3333435;416.3333435;424;1.384765625;1.516601563;1.520182252;0.062589782;0.031897355;;;
109;1.540860178;20.4100157;929.5310616;2.496681721;726210.913;1.937241176;88.44294139;424;419.6666565;426;1.388671875;1.516601563;1.516927123;-0.219496756;-0.24138027;;;
110;1.529524814;10.09023985;933.2498445;3.452318264;518040.0935;0.152611691;262.3270251;441;433.6666565;457.3333435;1.366210938;1.490234375;1.504557252;-0.432509117;-0.523299796;;;
111;1.479098042;23.97758068;930.8466078;9.342420355;1354591.126;0.945546897;261.9386785;387.3333435;379.6666565;384;1.336263061;1.452473998;1.457682252;-0.118594747;-0.089651662;;;
112;1.532278503;18.39903022;911.4022398;8.036924866;1410462.712;1.654446239;160.7511255;415.3333435;411.3333435;418;1.375976563;1.504557252;1.5078125;-0.08159476;-0.049735153;;;
113;1.505790835;19.3379674;934.75293;7.486306151;930148.778;0.257462092;112.1262064;413.3333435;433;440.3333435;1.353841186;1.478515625;1.482421875;0.084508799;0.066205132;;;
114;1.512219977;17.20678159;938.5113292;4.158476695;1981542.872;1.238510321;144.8908266;443.3333435;457.3333435;462;1.356119752;1.484700561;1.489257813;-0.23714317;-0.190538373;;;
115;1.456010229;24.2591743;939.5115591;8.780814807;626170.1453;0.29767541;261.7583309;410.3333435;379;392.3333435;1.315429688;1.431966186;1.435221314;-0.118080275;-0.110060023;;;
116;1.53331108;18.21879066;941.0502405;5.68160446;539014.1186;1.525408767;162.5694912;432;448;455.3333435;1.374674439;1.506184936;1.508138061;-0.138483128;-0.1543996;;;
117;1.499351229;24.12333457;903.8327382;5.476759311;1489799.514;0.911640212;178.4801669;346.3333435;340.3333435;345.3333435;1.349934936;1.474283814;1.477864623;0.006158574;0.025124434;;;
118;1.546792427;11.30800105;947.3934659;3.282485111;846734.3629;1.807036137;180.9618997;484;468.6666565;484;1.387695313;1.518229127;1.521158814;-0.321437015;-0.213334019;;;
